ResultTable(results=
                                     reconstructor            test_data                     measure_values                                                                                                                                                                                            misc
task_ind sub_task_ind                                                                                                                                                                                                                                                                                     
0        0             DeepImagePriorReconstructor  validation part 0:5  mean: {psnr: 28.16, ssim: 0.8771}  {'hp_choice': {'lr': 0.0005, 'scales': 6, 'gamma': 0.00035938136638, 'channels': (128, 128, 128, 128, 128), 'skip_channels': (0, 0, 0, 0, 0), 'iterations': 10000}}
0        0             DeepImagePriorReconstructor  validation part 0:5  mean: {psnr: 28.12, ssim: 0.8776}  {'hp_choice': {'lr': 0.0005, 'scales': 6, 'gamma': 0.00035938136638, 'channels': (128, 128, 128, 128, 128), 'skip_channels': (0, 0, 0, 0, 0), 'iterations': 8000}}
0        0             DeepImagePriorReconstructor  validation part 0:5  mean: {psnr: 28.14, ssim: 0.8764}  {'hp_choice': {'lr': 0.0005, 'scales': 5, 'gamma': 0.00035938136638, 'channels': (128, 128, 128, 128, 128), 'skip_channels': (0, 0, 0, 0, 0), 'iterations': 10000}}
0        0             DeepImagePriorReconstructor  validation part 0:5  mean: {psnr: 28.1, ssim: 0.8766}  {'hp_choice': {'lr': 0.0005, 'scales': 5, 'gamma': 0.00035938136638, 'channels': (128, 128, 128, 128, 128), 'skip_channels': (0, 0, 0, 0, 0), 'iterations': 8000}}

0        0             DeepImagePriorReconstructor  validation part 0:5  mean: {psnr: 28.17, ssim: 0.8786}  {'hp_choice': {'lr': 0.001, 'scales': 6, 'gamma': 0.00035938136638, 'channels': (128, 128, 128, 128, 128), 'skip_channels': (0, 0, 0, 0, 0), 'iterations': 10000}}
0        0             DeepImagePriorReconstructor  validation part 0:5  mean: {psnr: 28.15, ssim: 0.8815}  {'hp_choice': {'lr': 0.001, 'scales': 6, 'gamma': 0.00035938136638, 'channels': (128, 128, 128, 128, 128), 'skip_channels': (0, 0, 0, 0, 0), 'iterations': 8000}}
0        0             DeepImagePriorReconstructor  validation part 0:5  mean: {psnr: 28.15, ssim: 0.8799}  {'hp_choice': {'lr': 0.001, 'scales': 5, 'gamma': 0.00035938136638, 'channels': (128, 128, 128, 128, 128), 'skip_channels': (0, 0, 0, 0, 0), 'iterations': 10000}}
0        0             DeepImagePriorReconstructor  validation part 0:5  mean: {psnr: 28.15, ssim: 0.8805}  {'hp_choice': {'lr': 0.001, 'scales': 5, 'gamma': 0.00035938136638, 'channels': (128, 128, 128, 128, 128), 'skip_channels': (0, 0, 0, 0, 0), 'iterations': 8000}}

0        0             DeepImagePriorReconstructor  validation part 0:10  mean: {psnr: 28.25, ssim: 0.8847}  {'hp_choice': {'lr': 0.001, 'scales': 5, 'gamma': 0.00035938136638, 'channels': (128, 128, 128, 128, 128), 'skip_channels': (0, 0, 0, 0, 0), 'iterations': 8000}}
0        0             DeepImagePriorReconstructor  validation part 0:10  mean: {psnr: 28.10, ssim: 0.8817}  {'hp_choice': {'lr': 0.001, 'scales': 6, 'gamma': 0.00035938136638, 'channels': (128, 128, 128, 128, 128, 128), 'skip_channels': (0, 0, 0, 0, 0, 0), 'iterations': 8000}}

0        0             DeepImagePriorReconstructor  validation part 0:20   mean: {psnr: 28.73, ssim: 0.873}  {'hp_choice': {'lr': 0.001, 'scales': 5, 'gamma': 0.0001, 'channels': (128, 128, 128, 128, 128), 'skip_channels': (0, 0, 0, 0, 0), 'iterations': 8000}}
         1             DeepImagePriorReconstructor  validation part 0:20  mean: {psnr: 28.86, ssim: 0.8811}  {'hp_choice': {'lr': 0.001, 'scales': 5, 'gamma': 0.000177827941004, 'channels': (128, 128, 128, 128, 128), 'skip_channels': (0, 0, 0, 0, 0), 'iterations': 8000}}
         2             DeepImagePriorReconstructor  validation part 0:20  mean: {psnr: 28.86, ssim: 0.8862}  {'hp_choice': {'lr': 0.001, 'scales': 5, 'gamma': 0.000316227766017, 'channels': (128, 128, 128, 128, 128), 'skip_channels': (0, 0, 0, 0, 0), 'iterations': 8000}}
         3             DeepImagePriorReconstructor  validation part 0:20  mean: {psnr: 28.63, ssim: 0.8851}  {'hp_choice': {'lr': 0.001, 'scales': 5, 'gamma': 0.00056234132519, 'channels': (128, 128, 128, 128, 128), 'skip_channels': (0, 0, 0, 0, 0), 'iterations': 8000}}
         4             DeepImagePriorReconstructor  validation part 0:20  mean: {psnr: 28.16, ssim: 0.8748}  {'hp_choice': {'lr': 0.001, 'scales': 5, 'gamma': 0.001, 'channels': (128, 128, 128, 128, 128), 'skip_channels': (0, 0, 0, 0, 0), 'iterations': 8000}}

0        0             DeepImagePriorReconstructor  validation part 0:20  mean: {psnr: 28.91, ssim: 0.8854}  {'hp_choice': {'lr': 0.001, 'scales': 5, 'gamma': 0.000316227766017, 'channels': (128, 128, 128, 128, 128), 'skip_channels': (0, 0, 0, 0, 0), 'iterations': 10000}}

0        0             DeepImagePriorReconstructor  validation part 0:5    mean: {psnr: 26.9, ssim: 0.798}             {'hp_choice': {'lr': 0.001, 'scales': 5, 'gamma': 0.0001, 'channels': (128, 128, 128, 128, 128), 'skip_channels': (4, 4, 4, 4, 4), 'iterations': 8000}}
         1             DeepImagePriorReconstructor  validation part 0:5  mean: {psnr: 27.95, ssim: 0.8614}  {'hp_choice': {'lr': 0.001, 'scales': 5, 'gamma': 0.000316227766017, 'channels': (128, 128, 128, 128, 128), 'skip_channels': (4, 4, 4, 4, 4), 'iterations': 8000}}
         2             DeepImagePriorReconstructor  validation part 0:5  mean: {psnr: 27.39, ssim: 0.8645}              {'hp_choice': {'lr': 0.001, 'scales': 5, 'gamma': 0.001, 'channels': (128, 128, 128, 128, 128), 'skip_channels': (4, 4, 4, 4, 4), 'iterations': 8000}}
         3             DeepImagePriorReconstructor  validation part 0:5  mean: {psnr: 25.57, ssim: 0.7917}   {'hp_choice': {'lr': 0.001, 'scales': 5, 'gamma': 0.00316227766017, 'channels': (128, 128, 128, 128, 128), 'skip_channels': (4, 4, 4, 4, 4), 'iterations': 8000}}
         4             DeepImagePriorReconstructor  validation part 0:5  mean: {psnr: 23.07, ssim: 0.6347}               {'hp_choice': {'lr': 0.001, 'scales': 5, 'gamma': 0.01, 'channels': (128, 128, 128, 128, 128), 'skip_channels': (4, 4, 4, 4, 4), 'iterations': 8000}}
)
