ResultTable(results=
                                     reconstructor            test_data                     measure_values                                                                                                                                                                 misc
task_ind sub_task_ind                                                                                                                                                                                                                                                          
0        0             DeepImagePriorReconstructor  validation part 0:5  mean: {psnr: 27.69, ssim: 0.8603}              {'hp_choice': {'lr': 0.001, 'scales': 5, 'gamma': 0.0001, 'channels': (128, 128, 128, 128, 128), 'skip_channels': (0, 0, 0, 4, 4), 'iterations': 5000}}
         1             DeepImagePriorReconstructor  validation part 0:5     mean: {psnr: 27.7, ssim: 0.86}              {'hp_choice': {'lr': 0.001, 'scales': 5, 'gamma': 0.0001, 'channels': (128, 128, 128, 128, 128), 'skip_channels': (0, 0, 0, 4, 4), 'iterations': 6000}}
         2             DeepImagePriorReconstructor  validation part 0:5  mean: {psnr: 27.71, ssim: 0.8599}              {'hp_choice': {'lr': 0.001, 'scales': 5, 'gamma': 0.0001, 'channels': (128, 128, 128, 128, 128), 'skip_channels': (0, 0, 0, 4, 4), 'iterations': 7000}}
         3             DeepImagePriorReconstructor  validation part 0:5  mean: {psnr: 27.71, ssim: 0.8599}              {'hp_choice': {'lr': 0.001, 'scales': 5, 'gamma': 0.0001, 'channels': (128, 128, 128, 128, 128), 'skip_channels': (0, 0, 0, 4, 4), 'iterations': 8000}}
         4             DeepImagePriorReconstructor  validation part 0:5  mean: {psnr: 27.71, ssim: 0.8599}              {'hp_choice': {'lr': 0.001, 'scales': 5, 'gamma': 0.0001, 'channels': (128, 128, 128, 128, 128), 'skip_channels': (0, 0, 0, 4, 4), 'iterations': 9000}}
         5             DeepImagePriorReconstructor  validation part 0:5  mean: {psnr: 27.71, ssim: 0.8599}             {'hp_choice': {'lr': 0.001, 'scales': 5, 'gamma': 0.0001, 'channels': (128, 128, 128, 128, 128), 'skip_channels': (0, 0, 0, 4, 4), 'iterations': 10000}}
         6             DeepImagePriorReconstructor  validation part 0:5  mean: {psnr: 27.87, ssim: 0.8683}   {'hp_choice': {'lr': 0.001, 'scales': 5, 'gamma': 0.000177827941004, 'channels': (128, 128, 128, 128, 128), 'skip_channels': (0, 0, 0, 4, 4), 'iterations': 5000}}
         7             DeepImagePriorReconstructor  validation part 0:5  mean: {psnr: 27.89, ssim: 0.8685}   {'hp_choice': {'lr': 0.001, 'scales': 5, 'gamma': 0.000177827941004, 'channels': (128, 128, 128, 128, 128), 'skip_channels': (0, 0, 0, 4, 4), 'iterations': 6000}}
         8             DeepImagePriorReconstructor  validation part 0:5   mean: {psnr: 27.9, ssim: 0.8685}   {'hp_choice': {'lr': 0.001, 'scales': 5, 'gamma': 0.000177827941004, 'channels': (128, 128, 128, 128, 128), 'skip_channels': (0, 0, 0, 4, 4), 'iterations': 7000}}
         9             DeepImagePriorReconstructor  validation part 0:5   mean: {psnr: 27.9, ssim: 0.8685}   {'hp_choice': {'lr': 0.001, 'scales': 5, 'gamma': 0.000177827941004, 'channels': (128, 128, 128, 128, 128), 'skip_channels': (0, 0, 0, 4, 4), 'iterations': 8000}}
         10            DeepImagePriorReconstructor  validation part 0:5   mean: {psnr: 27.9, ssim: 0.8685}   {'hp_choice': {'lr': 0.001, 'scales': 5, 'gamma': 0.000177827941004, 'channels': (128, 128, 128, 128, 128), 'skip_channels': (0, 0, 0, 4, 4), 'iterations': 9000}}
