ResultTable(results=
                             reconstructor            test_data                     measure_values                                                                                     misc
task_ind sub_task_ind                                                                                                                                                                      
0        0             TVAdamReconstructor  validation part 0:4   mean: {psnr: 34.55, ssim: 0.878}           {'hp_choice': {'gamma': 10.0, 'iterations': 2500, 'loss_function': 'poisson'}}
         1             TVAdamReconstructor  validation part 0:4   mean: {psnr: 34.54, ssim: 0.878}           {'hp_choice': {'gamma': 10.0, 'iterations': 3000, 'loss_function': 'poisson'}}
         2             TVAdamReconstructor  validation part 0:4   mean: {psnr: 34.53, ssim: 0.878}           {'hp_choice': {'gamma': 10.0, 'iterations': 3500, 'loss_function': 'poisson'}}
         3             TVAdamReconstructor  validation part 0:4   mean: {psnr: 34.53, ssim: 0.878}           {'hp_choice': {'gamma': 10.0, 'iterations': 4000, 'loss_function': 'poisson'}}
         4             TVAdamReconstructor  validation part 0:4  mean: {psnr: 34.53, ssim: 0.8781}           {'hp_choice': {'gamma': 10.0, 'iterations': 4500, 'loss_function': 'poisson'}}
         5             TVAdamReconstructor  validation part 0:4  mean: {psnr: 34.53, ssim: 0.8781}           {'hp_choice': {'gamma': 10.0, 'iterations': 5000, 'loss_function': 'poisson'}}
         6             TVAdamReconstructor  validation part 0:4  mean: {psnr: 34.59, ssim: 0.8802}  {'hp_choice': {'gamma': 10.5555555556, 'iterations': 2500, 'loss_function': 'poisson'}}
         7             TVAdamReconstructor  validation part 0:4  mean: {psnr: 34.58, ssim: 0.8802}  {'hp_choice': {'gamma': 10.5555555556, 'iterations': 3000, 'loss_function': 'poisson'}}
         8             TVAdamReconstructor  validation part 0:4  mean: {psnr: 34.58, ssim: 0.8802}  {'hp_choice': {'gamma': 10.5555555556, 'iterations': 3500, 'loss_function': 'poisson'}}
         9             TVAdamReconstructor  validation part 0:4  mean: {psnr: 34.57, ssim: 0.8802}  {'hp_choice': {'gamma': 10.5555555556, 'iterations': 4000, 'loss_function': 'poisson'}}
         10            TVAdamReconstructor  validation part 0:4  mean: {psnr: 34.57, ssim: 0.8802}  {'hp_choice': {'gamma': 10.5555555556, 'iterations': 4500, 'loss_function': 'poisson'}}
         11            TVAdamReconstructor  validation part 0:4  mean: {psnr: 34.57, ssim: 0.8802}  {'hp_choice': {'gamma': 10.5555555556, 'iterations': 5000, 'loss_function': 'poisson'}}
         12            TVAdamReconstructor  validation part 0:4  mean: {psnr: 34.62, ssim: 0.8818}  {'hp_choice': {'gamma': 11.1111111111, 'iterations': 2500, 'loss_function': 'poisson'}}
         13            TVAdamReconstructor  validation part 0:4  mean: {psnr: 34.61, ssim: 0.8818}  {'hp_choice': {'gamma': 11.1111111111, 'iterations': 3000, 'loss_function': 'poisson'}}
